t,row,variable,horizon,scalar_baseline,scalar_refit,omitted_baseline,omitted_refit
-0.05,15,inflation,14,-0.007993395,-0.0079874131,0.00049268831,0.00048920962
-0.05,16,inflation,15,-0.0073281654,-0.007319612,0.00049950771,0.00049720984
-0.05,17,inflation,16,-0.0065750039,-0.0065666967,0.00049769106,0.00049632465
-0.05,18,inflation,17,-0.0057554396,-0.0057511885,0.00048826633,0.00048766904
-0.05,19,inflation,18,-0.0048894397,-0.0048937219,0.00047229037,0.00047239507
-0.05,20,inflation,19,-0.0039951758,-0.0040127895,0.00045081075,0.0004516406
-0.05,21,output,0,-0.011924095,-0.011806197,-0.002990562,-0.0036283789
-0.05,22,output,1,-0.021817975,-0.021799984,-0.0031494766,-0.0038548189
-0.05,23,output,2,-0.02884192,-0.028864381,-0.0021418896,-0.0027094804
-0.05,24,output,3,-0.033280443,-0.033300082,-0.00075944077,-0.0011132862
-0.05,25,output,4,-0.035583364,-0.035618008,0.00035974867,0.0001554628
-0.05,26,output,5,-0.036023415,-0.036090172,0.0011905305,0.001090342
-0.05,27,output,6,-0.034889547,-0.03500221,0.0017223372,0.0016887276
-0.05,28,output,7,-0.032433024,-0.032578729,0.0019700106,0.0019673488
-0.05,29,output,8,-0.028854089,-0.028945692,0.0020028293,0.0020061851
-0.05,30,output,9,-0.024796581,-0.024822511,0.0019082912,0.0019081533
-0.05,31,output,10,-0.020660446,-0.020638979,0.0017430027,0.0017374385
-0.05,32,output,11,-0.016686373,-0.016642548,0.0015432786,0.0015336296
-0.05,33,output,12,-0.013011414,-0.012966546,0.001332094,0.0013207201
-0.05,34,output,13,-0.0097056109,-0.0096735588,0.0011236568,0.0011128445
-0.05,35,output,14,-0.0067961447,-0.0067829661,0.00092642367,0.00091793374
-0.05,36,output,15,-0.0042832684,-0.0042883976,0.00074509389,0.00074004447
-0.05,37,output,16,-0.0021508133,-0.002168747,0.00058192958,0.00058084162
-0.05,38,output,17,-0.00037309978,-0.00039508687,0.00043763139,0.00044053991
-0.05,39,output,18,0.0010805392,0.001065031,0.00031191919,0.0003185001
-0.05,40,output,19,0.0022428202,0.0022449373,0.00020391676,0.00021360487
-0.04,1,inflation,0,-0.0008442299,-0.00086285982,-7.0900717e-05,-7.3098846e-05
-0.04,2,inflation,1,-0.0019102688,-0.0019313645,-0.00012318802,-0.00012793517
-0.04,3,inflation,2,-0.0031034176,-0.0031183533,-0.00013942865,-0.00014737711
-0.04,4,inflation,3,-0.0043365062,-0.0043418305,-0.0001187518,-0.00013019503
-0.04,5,inflation,4,-0.0055338272,-0.0055294929,-6.9516213e-05,-8.4187342e-05
-0.04,6,inflation,5,-0.0066310789,-0.0066191704,-1.1739661e-06,-1.8417538e-05
-0.04,7,inflation,6,-0.0075767448,-0.007560475,7.7118324e-05,5.8203561e-05
-0.04,8,inflation,7,-0.0083330029,-0.0083159297,0.00015748857,0.00013790813
-0.04,9,inflation,8,-0.0088769461,-0.0088623316,0.00023414463,0.00021487991
-0.04,10,inflation,9,-0.0092027032,-0.0091929636,0.00030336928,0.00028529263
-0.04,11,inflation,10,-0.0093163745,-0.0093128957,0.00036295835,0.00034679902
-0.04,12,inflation,11,-0.0092319883,-0.0092351156,0.00041178829,0.00039812526
-0.04,13,inflation,12,-0.0089685645,-0.0089776781,0.00044950314,0.00043877229
-0.04,14,inflation,13,-0.0085479763,-0.008561604,0.00047628567,0.00046879348
-0.04,15,inflation,14,-0.007993395,-0.0080093331,0.00049268831,0.00048862794
-0.04,16,inflation,15,-0.0073281654,-0.0073435973,0.00049950771,0.00049897476
-0.04,17,inflation,16,-0.0065750039,-0.0065866092,0.00049769106,0.00050069825
-0.04,18,inflation,17,-0.0057554396,-0.0057594933,0.00048826633,0.00049475638
-0.04,19,inflation,18,-0.0048894397,-0.0048819026,0.00047229037,0.0004821473
-0.04,20,inflation,19,-0.0039951758,-0.0039717772,0.00045081075,0.0004638696
-0.04,21,output,0,-0.011924095,-0.011786225,-0.002990562,-0.0035156737
-0.04,22,output,1,-0.021817975,-0.021758193,-0.0031494766,-0.0037378862
-0.04,23,output,2,-0.02884192,-0.02883444,-0.0021418896,-0.0026230936
-0.04,24,output,3,-0.033280443,-0.033298589,-0.00075944077,-0.0010673931
-0.04,25,output,4,-0.035583364,-0.035640208,0.00035974867,0.0001769182
-0.04,26,output,5,-0.036023415,-0.036125844,0.0011905305,0.0010979905
-0.04,27,output,6,-0.034889547,-0.035038979,0.0017223372,0.001690095
-0.04,28,output,7,-0.032433024,-0.032608739,0.0019700106,0.0019685247
-0.04,29,output,8,-0.028854089,-0.02897724,0.0020028293,0.0020106234
-0.04,30,output,9,-0.024796581,-0.024851857,0.0019082912,0.0019160921
-0.04,31,output,10,-0.020660446,-0.020659827,0.0017430027,0.0017477505
-0.04,32,output,11,-0.016686373,-0.016650423,0.0015432786,0.001544827
-0.04,33,output,12,-0.013011414,-0.012960316,0.001332094,0.001331452
-0.04,34,output,13,-0.0097056109,-0.0096554675,0.0011236568,0.0011221004
-0.04,35,output,14,-0.0067961447,-0.0067579902,0.00092642367,0.0009250872
-0.04,36,output,15,-0.0042832684,-0.0042633815,0.00074509389,0.00074481653
-0.04,37,output,16,-0.0021508133,-0.0021515583,0.00058192958,0.0005832319
-0.04,38,output,17,-0.00037309978,-0.00039390074,0.00043763139,0.00044075093
-0.04,39,output,18,0.0010805392,0.0010422825,0.00031191919,0.00031686804
-0.04,40,output,19,0.0022428202,0.0021909543,0.00020391676,0.00021054217
-0.03,1,inflation,0,-0.0008442299,-0.00085578675,-7.0900717e-05,-7.4827558e-05
-0.03,2,inflation,1,-0.0019102688,-0.0019236313,-0.00012318802,-0.00013101328
-0.03,3,inflation,2,-0.0031034176,-0.0031132052,-0.00013942865,-0.00015076556
-0.03,4,inflation,3,-0.0043365062,-0.0043403716,-0.0001187518,-0.00013294287
-0.03,5,inflation,4,-0.0055338272,-0.0055315408,-6.9516213e-05,-8.5765514e-05
-0.03,6,inflation,5,-0.0066310789,-0.0066237981,-1.1739661e-06,-1.8653374e-05
-0.03,7,inflation,6,-0.0075767448,-0.0075663937,7.7118324e-05,5.921927e-05
-0.03,8,inflation,7,-0.0083330029,-0.0083217534,0.00015748857,0.00013991695
-0.03,9,inflation,8,-0.0088769461,-0.0088668049,0.00023414463,0.0002175578
-0.03,10,inflation,9,-0.0092027032,-0.0091952798,0.00030336928,0.00028833028
-0.03,11,inflation,10,-0.0093163745,-0.0093127869,0.00036295835,0.00034994167
-0.03,12,inflation,11,-0.0092319883,-0.0092327973,0.00041178829,0.00040118651
-0.03,13,inflation,12,-0.0089685645,-0.0089737289,0.00044950314,0.0004416333
-0.03,14,inflation,13,-0.0085479763,-0.0085568259,0.00047628567,0.00047139461
-0.03,15,inflation,14,-0.007993395,-0.0080046187,0.00049268831,0.0004909572
-0.03,16,inflation,15,-0.0073281654,-0.0073398164,0.00049950771,0.00050105568
-0.03,17,inflation,16,-0.0065750039,-0.0065845203,0.00049769106,0.00050257837
-0.03,18,inflation,17,-0.0057554396,-0.0057596803,0.00048826633,0.00049649736
-0.03,19,inflation,18,-0.0048894397,-0.0048847353,0.00047229037,0.00048381666
-0.03,20,inflation,19,-0.0039951758,-0.0039773916,0.00045081075,0.00046553428
-0.03,21,output,0,-0.011924095,-0.011821743,-0.002990562,-0.0033841027
-0.03,22,output,1,-0.021817975,-0.021772818,-0.0031494766,-0.0035917497
-0.03,23,output,2,-0.02884192,-0.028835347,-0.0021418896,-0.0025047349
-0.03,24,output,3,-0.033280443,-0.033293379,-0.00075944077,-0.00099327825
-0.03,25,output,4,-0.035583364,-0.035625838,0.00035974867,0.00021969383
-0.03,26,output,5,-0.036023415,-0.036100528,0.0011905305,0.001118513
-0.03,27,output,6,-0.034889547,-0.03500189,0.0017223372,0.0016959912
-0.03,28,output,7,-0.032433024,-0.032564461,0.0019700106,0.0019672755
-0.03,29,output,8,-0.028854089,-0.028946048,0.0020028293,0.0020076553
-0.03,30,output,9,-0.024796581,-0.024837755,0.0019082912,0.001913669
-0.03,31,output,10,-0.020660446,-0.020659879,0.0017430027,0.0017465462
-0.03,32,output,11,-0.016686373,-0.016659515,0.0015432786,0.0015447841
-0.03,33,output,12,-0.013011414,-0.012973412,0.001332094,0.0013322343
-0.03,34,output,13,-0.0097056109,-0.0096685152,0.0011236568,0.0011233181
-0.03,35,output,14,-0.0067961447,-0.0067681542,0.00092642367,0.00092639729
-0.03,36,output,15,-0.0042832684,-0.004268955,0.00074509389,0.00074595827
-0.03,37,output,16,-0.0021508133,-0.0021517551,0.00058192958,0.00058402974
-0.03,38,output,17,-0.00037309978,-0.00038862286,0.00043763139,0.00044110332
-0.03,39,output,18,0.0010805392,0.0010526562,0.00031191919,0.0003167315
-0.03,40,output,19,0.0022428202,0.0022057412,0.00020391676,0.00020991542
-0.02,1,inflation,0,-0.0008442299,-0.00084946486,-7.0900717e-05,-7.5920385e-05
-0.02,2,inflation,1,-0.0019102688,-0.0019167722,-0.00012318802,-0.00013296046
-0.02,3,inflation,2,-0.0031034176,-0.0031086978,-0.00013942865,-0.00015277968
-0.02,4,inflation,3,-0.0043365062,-0.0043391632,-0.0001187518,-0.00013429963
-0.02,5,inflation,4,-0.0055338272,-0.0055334215,-6.9516213e-05,-8.6075467e-05
-0.02,6,inflation,5,-0.0066310789,-0.0066279094,-1.1739661e-06,-1.781293e-05
-0.02,7,inflation,6,-0.0075767448,-0.0075715835,7.7118324e-05,6.1104227e-05
